brand,product_name,pigment_ids,opacity,hue_family,masstone_hex,tint_hex,source,confidence
Winsor & Newton,Titanium White,PW6,opaque,white,#F5F4EF,#F6F5F0,estimated,0.4
Winsor & Newton,Zinc White,PW4,semi-transparent,white,#F7F6F2,#F8F7F3,estimated,0.4
Winsor & Newton,Titanium Buff,PW6:1,opaque,white,#D8C9A9,#E8DFC8,estimated,0.4
Winsor & Newton,Lemon Yellow,PY3,semi-transparent,yellow,#F7E63A,#FAF2AE,estimated,0.4
Winsor & Newton,Cadmium Yellow Light,PY35,opaque,yellow,#FFE01A,#FDF3B4,estimated,0.4
Winsor & Newton,Cadmium Yellow Deep,PY35,opaque,yellow,#FCB514,#FBE4A8,estimated,0.4
Winsor & Newton,Winsor Yellow,PY74,semi-transparent,yellow,#FFD514,#FBEC9E,estimated,0.4
Winsor & Newton,Indian Yellow,PY110,transparent,yellow,#C87A0E,#F2D48C,estimated,0.4
Winsor & Newton,Naples Yellow Hue,PW6|PY35,opaque,yellow,#EFD9A0,#F4E6C0,estimated,0.4
Winsor & Newton,Yellow Ochre,PY43,semi-opaque,earth,#C08F2E,#E5D2A8,estimated,0.4
Winsor & Newton,Raw Sienna,PBr7,semi-transparent,earth,#B07A33,#E0C69C,estimated,0.4
Winsor & Newton,Burnt Sienna,PBr7,semi-transparent,earth,#7C3A18,#DBA78D,estimated,0.4
Winsor & Newton,Burnt Umber,PBr7,semi-transparent,earth,#4A2E1C,#C0A48D,estimated,0.4
Winsor & Newton,Raw Umber,PBr7,semi-transparent,earth,#4A3A26,#BFB4A2,estimated,0.4
Winsor & Newton,Transparent Red Oxide,PR101,transparent,earth,#8C3D1A,#DCA184,estimated,0.4
Winsor & Newton,Venetian Red,PR101,opaque,earth,#A5432C,#DFA893,estimated,0.4
Winsor & Newton,Indian Red,PR101,opaque,earth,#8F3B33,#D6A198,estimated,0.4
Winsor & Newton,Cadmium Orange,PO20,opaque,orange,#F26D0F,#F9C698,estimated,0.4
Winsor & Newton,Winsor Orange,PO73,semi-opaque,orange,#EF5510,#F6A87E,estimated,0.4
Winsor & Newton,Transparent Orange,PO71,transparent,orange,#D96018,#F0B080,estimated,0.4
Winsor & Newton,Cadmium Red Light,PR108,opaque,red,#D23227,#F0B3A2,estimated,0.4
Winsor & Newton,Cadmium Red,PR108,opaque,red,#C0272D,#EEB0A6,estimated,0.4
Winsor & Newton,Winsor Red,PR254,semi-opaque,red,#CE1220,#F09892,estimated,0.4
Winsor & Newton,Vermilion Hue,PR255,semi-opaque,red,#DE3A1E,#F4AE94,estimated,0.4
